127-06-0,0
61-82-5,0
4418-61-5,0
420-04-2,0
1689-82-3,0
28382-15-2,0
60-34-4,0
103-33-3,0
3984-14-3,0
165252-70-0,0
26628-22-8,0
59-87-0,0
7722-84-1,0
1596-84-5,0
94-67-7,0
34911-46-1,0
156-62-7,0
759-73-9,0
78-67-1,0
57-14-7,0
684-93-5,0
7803-57-8,0
123-33-1,0
1118-61-2,0
8065-75-6,0
122-66-7,0
8005-78-5,0
123-46-6,0
107-29-9,0
12135-76-1,0
10599-90-3,0
497-18-7,0
680-31-9,0
62-75-9,0
62-56-6,0
288-88-0,0
79-19-6,0
782-74-1,0
461-58-5,0
302-01-2,0
57-13-6,0
16691-43-3,0
96-29-7,0
54-85-3,0
100-63-0,0
112410-23-8,0
55-18-5,0
4719/4/4,1
473278-76-1,1
68155-42-0,1
68131-40-8,1
74-83-9,1
72027-04-4,1
473798-59-3,1
143-33-9,1
68081-81-2,1
494793-67-8,1
74-87-3,1
68038-71-1,1
15281-91-1,1
68131-39-5,1
464-72-2,1
68333-79-9,1
365400-11-9,1
145607-53-0,1
68607-28-3,1
4286-23-1,1
112025-60-2,1
68514-95-4,1
151734-02-0,1
463-56-9,1
37301-44-3,1
68439-46-3,1
447399-55-5,1
68411-30-3,1
37264-94-1,1
37228-47-0,1
372137-35-4,1
4419-22-1,1
68783-78-8,1
36253-76-6,1
1968/11/1,1
50934-16-2,1
1951/3/6,1
7429-90-5,1
66829-05-8,1
7439-89-6,1
7439-92-1,1
7439-96-5,1
3572/6/3,1
7439-97-6,1
66829-04-7,1
66829-03-6,1
66594-34-1,1
66594-32-9,1
66594-31-8,1
66455-14-9,1
67-56-1,1
74051-80-2,1
67-68-5,1
506-68-3,1
67701-09-1,1
121-75-6,1
121-75-7,1
74-88-4,1
1950/6/6,1
14275-57-1,1
74-90-8,1
1968/12/2,1
500008-45-7,1
153197-14-9,1
12136-45-7,1
14220-17-8,1
14215-52-2,1
502-39-6,1
67167-02-6,1
67167-01-5,1
67254-71-1,1
688046-61-9,1
145701-23-1,1
72027-05-5,1
37353-63-2,1
115852-48-7,1
71706-07-5,1
71531-34-5,1
71379-75-4,1
374726-62-2,1
116580-64-4,1
376645-78-2,1
71203-19-5,1
71-43-2,1
3811/4/9,1
3862/11/1,1
38640-62-9,1
149979-41-9,1
117428-22-5,1
15067-52-4,1
37337-13-6,1
150824-47-8,1
15096-52-3,1
72027-03-3,1
72231-04-0,1
37339-61-0,1
72027-01-1,1
72574-95-9,1
11315-8-40-0,1
115-09-3,1
72027-00-0,1
72026-99-4,1
151-50-8,1
72026-97-2,1
72-56-0,1
72674-05-6,1
115-32-2,1
151-01-9,1
7281/4/1,1
42509-83-8,1
117718-60-2,1
70974-33-3,1
39600-42-5,1
1124-19-2,1
400882-07-7,1
7345-69-9,1
691-37-2,1
14798-03-9,1
37324-23-5,1
68972-96-3,1
73561-16-7,1
406-86-0,1
4180/12/5,1
68951-67-7,1
736994-63-1,1
68911-78-4,1
422556-08-9,1
39412-51-6,1
71-19-6,1
39403-84-4,1
70033-13-5,1
39202-39-6,1
149508-90-7,1
70903-51-4,1
70901-12-1,1
39278-82-5,1
39289-94-6,1
70896-08-1,1
39300-45-3,1
70630-17-0,1
73263-81-7,1
148788-55-0,1
70225-91-1,1
39341-15-6,1
148476-22-6,1
122467-32-7,1
39362-29-3,1
51-28-6,1
65589-70-0,1
66231-17-2,1
53763-38-5,1
1314-98-3,1
131475-57-5,1
53763-42-1,1
1317-38-0,1
1317-39-1,1
53763-47-6,1
53763-53-4,1
1314-64-3,1
13772-16-2,1
137512-74-4,1
57571-05-8,1
13746-66-2,1
57455-37-5,1
53763-56-7,1
53763-61-4,1
5707-44-8,1
53763-70-5,1
1958/8/2,1
570415-88-2,1
138003-56-2,1
53763-34-1,1
138757-64-9,1
138757-63-8,1
130328-19-7,1
138698-36-9,1
590-28-3,1
1306-19-0,1
1306-23-6,1
13863-41-7,1
1314-13-2,1
58865-77-3,1
53763-10-3,1
1310-58-3,1
1310-73-2,1
58561-88-9,1
58561-78-7,1
53763-11-4,1
58561-66-3,1
53763-29-4,1
587-98-4,1
138757-65-0,1
57017-81-9,1
53763-77-2,1
56996-37-3,1
56902-08-0,1
56896-68-5,1
5673/7/4,1
56646-05-0,1
544-25-2,1
54847-85-7,1
135590-91-9,1
